Time, Pupil Size
0,3.180473
0.02,3.231674
0.04,3.109764
0.3733333,3.072777
0.4585563,3.075989
0.5174376,3.137291
0.5696989,3.192261
0.5968964,3.126678
0.6272743,3.171875
0.6597533,3.031822
0.6853011,3.170425
0.7120113,3.259247
0.7353843,3.262726
0.759168,3.250389
0.7823496,3.183052
0.8059445,3.160614
0.8298997,3.166985
0.8541392,3.165512
0.8786433,3.076347
0.9028691,3.074013
0.9276423,2.971123
0.9541601,3.02356
0.9785184,2.975632
1.001178,2.908249
1.024618,2.852585
1.047437,2.872772
1.071609,2.808525
1.09413,2.797913
1.117903,2.713928
1.140031,2.825401
1.164358,2.697525
1.187244,2.624908
1.212798,2.6492
1.238004,2.578667
1.262385,2.573509
1.286028,2.502274
1.318016,2.482689
1.344533,2.517052
1.369089,2.476776
1.402788,2.511757
1.425305,2.444977
1.449104,2.49781
1.472396,2.497246
1.50832,2.432846
1.53425,2.495178
1.566356,2.399529
1.589975,2.339836
1.62439,2.359688
1.653167,2.325706
1.678797,2.368889
1.702714,2.395103
1.736385,2.341927
1.76067,2.212494
1.784285,2.072037
1.806169,2.082161
1.829948,2.192459
1.853554,2.287621
1.876881,2.267639
1.901075,2.29229
1.924276,2.258911
1.947973,2.26857
1.978978,2.305183
2.004831,2.347786
2.029221,2.292816
2.053285,2.137909
2.078462,2.238518
2.101901,2.369156
2.127833,2.189926
2.161759,2.342545
2.184957,2.317543
2.208229,2.241577
2.23284,2.242149
2.257447,2.292824
2.28096,2.375885
2.312945,2.262924
2.335665,2.370064
2.358148,2.429375
2.381064,2.468491
2.403331,2.458931
2.428543,2.467194
2.459283,2.469757
2.4852,2.462357
2.512557,2.421669
2.536381,2.446449
2.560068,2.469925
2.587162,2.455978
2.616491,2.422089
2.644229,2.295876
2.668534,2.398018
2.697501,2.371101
2.718871,2.470573
2.74286,2.408966
2.76894,2.512009
2.80132,2.415245
2.824759,2.445709
2.848347,2.490868
2.871609,2.522476
2.896193,2.502853
2.923501,2.471886
2.95156,2.517532
2.984771,2.481667
3.009443,2.489502
3.033888,2.394943
3.06126,2.449211
3.092807,2.480049
3.114722,2.455162
3.138053,2.406807
3.160201,2.366531
3.184254,2.4617
3.207844,2.410271
3.232706,2.388489
3.258053,2.404182
3.291046,2.401825
3.31396,2.298721
3.337421,2.256165
3.360318,2.316048
3.384099,2.344032
3.406762,2.32653
3.430712,2.361534
3.455074,2.408043
3.480037,2.37397
3.514056,2.356499
3.539689,2.33548
3.567925,2.364525
3.594874,2.293869
3.628398,2.42617
3.654959,2.327393
3.679209,2.397346
3.712558,2.423927
3.747613,2.413422
3.774286,2.379791
3.801792,2.40184
3.823322,2.36618
3.846911,2.370758
3.869836,2.366737
3.893229,2.349586
3.917137,2.347229
3.941074,2.324547
3.964923,2.319672
3.992426,2.335495
4.019469,2.291718
4.051651,2.288391
4.089318,2.258003
4.129411,2.215538
4.16481,2.375175
4.193944,2.327698
4.228771,2.336769
4.256663,2.391991
4.284787,2.568451
4.312924,2.752754
4.3459,2.608658
4.377762,2.713722
4.412434,2.73941
4.448806,2.570724
4.498948,2.528969
4.528577,2.445168
4.559083,2.434677
4.588627,2.494911
4.617312,2.330231
4.645868,2.633949
4.678758,2.529877
4.7127,2.53833
4.745863,2.447037
4.778839,2.460014
4.811963,2.425491
4.844883,2.411804
4.877325,2.450592
4.912097,2.446861
4.944842,2.416504
4.978617,2.602867
5.012115,2.640121
5.039747,2.467117
5.068654,2.470749
5.100918,2.493294
5.127927,2.528786
5.155794,2.564354
5.187981,2.524391
5.220369,2.528801
5.251605,2.575539
5.284099,2.501106
5.313302,2.5103
5.345073,2.5494
5.373334,2.557373
5.405126,2.473526
5.437646,2.528656
5.466727,2.537476
5.495439,2.483376
5.52512,2.565781
5.552735,2.657272
5.580092,2.672424
5.612034,2.683464
5.642829,2.680916
5.672052,2.780579
5.70125,2.767563
5.728342,2.72731
5.755256,2.709785
5.788359,2.679451
5.817101,2.721542
5.843976,2.69738
5.877561,2.736549
5.906709,2.707405
5.93514,2.704124
5.968651,2.604393
5.99952,2.490356
6.028053,2.563835
6.05752,2.586014
6.087829,2.49456
6.116023,2.589813
6.144407,2.547256
6.174425,2.579285
6.203451,2.595688
6.234004,2.546089
6.265371,2.711731
6.293512,2.696152
6.327078,2.749138
6.358673,2.848877
6.395607,2.800171
6.432513,2.783867
6.461491,2.694878
6.489671,2.644844
6.524007,2.607742
6.553054,2.61055
6.580789,2.608696
6.609943,2.413788
6.639569,2.508682
6.668561,2.47979
6.700219,2.482162
6.726798,2.472282
6.755637,2.457062
6.787812,2.563118
6.816206,2.507957
6.845192,2.490555
6.877618,2.422325
6.909336,2.523766
6.939005,2.34079
6.97045,2.50399
6.998351,2.46019
7.034336,2.481239
7.063047,2.367126
7.092795,2.522484
7.121668,2.37851
7.149692,2.270439
7.180661,2.230911
7.211559,1.991379
7.247901,INVALID
7.281519,INVALID
7.311575,INVALID
7.344215,INVALID
7.371811,INVALID
7.398584,INVALID
7.428158,INVALID
7.458067,INVALID
7.491324,INVALID
7.524858,INVALID
7.554917,INVALID
7.582686,INVALID
7.611467,INVALID
7.638322,INVALID
7.665039,INVALID
7.69392,INVALID
7.72168,INVALID
7.748425,INVALID
7.774098,INVALID
7.801086,INVALID
7.830532,INVALID
7.857959,INVALID
7.88427,INVALID
7.90815,INVALID
7.932856,INVALID
7.968948,INVALID
7.99779,INVALID
8.023409,INVALID
8.048335,INVALID
8.073095,INVALID
8.096629,INVALID
8.119473,INVALID
8.143647,INVALID
8.165776,INVALID
8.189721,INVALID
8.216971,INVALID
8.242063,INVALID
8.266322,INVALID
8.295629,INVALID
