Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y, Direction X, Direction Y
0,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.02,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.04,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.3733333,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.4733116,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.5000896,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.6960095,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.7183054,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.7334884,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.7412907,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.7537666,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.7650519,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.7763135,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.7871921,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.7978858,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.8095372,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.8206557,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.8315482,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.8432383,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.8547359,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.8714642,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.8856869,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.8944999,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9033284,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9113657,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9205086,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9312314,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9426084,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.954725,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9653141,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9768409,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9867706,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.9977538,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.009522,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.020249,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.03135,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.042184,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.053374,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.064274,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.075909,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.086692,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.097683,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.109405,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.12081,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.131437,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.143323,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.153653,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.165072,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.17591,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.186679,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
