Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y, Direction X, Direction Y
0,-10.51456,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.02,-10.51459,0,INVALID,INVALID,0,0.8783914, 0.4348804,INVALID,INVALID
0.04,-10.47989,2.431274,0.04424357,-0.0003077984,2.016556,-0.2637808, -0.01230574,INVALID,INVALID
0.3733333,-1.338684,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.4221294,-0.1409607,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.4368736,-0.119873,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.4433394,-0.1140442,0,INVALID,INVALID,2.296494,-0.2257769, -0.006508231,INVALID,INVALID
0.4545756,-0.110199,0,0.06159568,-0.06258869,2.957413,-0.2324203, 0.009267092,INVALID,INVALID
0.4655548,-0.1049805,3.068176,0.07217038,-0.04345119,2.643097,-0.238396, 0.01482254,INVALID,INVALID
0.4769143,-0.09909058,3.395004,0.07676792,-0.05838501,2.414032,-0.2361923, -0.003429174,INVALID,INVALID
0.4877488,-0.09362793,3.396194,0.078457,-0.06110585,3.416946,-0.2354478, -0.01350498,INVALID,INVALID
0.4999005,-0.08599854,3.225662,0.08324921,-0.08215868,3.485443,-0.2412145, -0.02871501,INVALID,INVALID
0.5105279,-0.07839966,3.574722,0.08462477,-0.08421767,3.555832,-0.2337589, -0.04117644,-2.330618,-10.18372
0.5212317,-0.07067871,3.182526,0.09216154,-0.09630978,3.44278,-0.2348837, -0.04833043,-2.814525,-10.791
0.5323949,-0.05944824,3.413208,0.08849812,-0.08202159,3.561188,-0.2325472, -0.04874206,-1.538878,-11.97809
0.5434089,-0.05212402,3.504578,0.08545709,-0.07919347,3.585129,-0.2353925, -0.04920423,-1.527519,-11.15429
0.5545895,-0.04702759,3.506531,0.08584452,-0.080598,3.473434,-0.2348895, -0.05671883,-1.0772,-10.68688
0.5657266,-0.04205322,3.520645,0.08835721,-0.07872784,3.419479,-0.2361065, -0.05932736,-0.4311472,-10.36673
0.5766661,-0.03961182,3.553223,0.09259999,-0.08013499,3.438293,-0.2328026, -0.06041288,-0.1897456,-10.41293
0.5882545,-0.03704834,3.499863,0.0899055,-0.07465756,3.562668,-0.231245, -0.05570233,-1.210146,-9.086792
0.599127,-0.03591919,3.46553,0.09523165,-0.07396078,3.473801,-0.2282526, -0.0583514,-0.9285166,-9.389628
0.6099279,-0.03659058,3.446899,0.09685946,-0.07376623,3.501221,-0.2256665, -0.05425107,-0.633656,-9.279766
0.6210248,-0.03488159,3.536087,0.09532535,-0.0708822,3.509369,-0.2260568, -0.05435145,-1.074654,-9.080626
0.6360748,-0.03198242,3.504776,0.09149837,-0.06679571,3.5383,-0.2257053, -0.05290365,-1.113994,-8.448036
0.6530104,-0.1293335,3.553177,0.09700787,-0.07348394,3.529282,-0.2255784, -0.05376077,-0.3090104,-9.086748
0.6658615,-0.2459106,3.46904,0.09373367,-0.07263708,3.525238,-0.2258127, -0.05373871,-0.6801254,-9.035355
0.6767748,-0.2455444,3.579544,0.09222758,-0.06888127,3.467209,-0.2257977, -0.05539334,-0.8182884,-8.985025
0.6875762,-0.2897949,3.515366,0.09542608,-0.06723011,3.571091,-0.2289466, -0.05045187,-0.7124436,-8.823832
0.6986964,-0.3911743,3.57901,0.09354198,-0.06464231,3.489777,-0.2262371, -0.05305421,-0.6994157,-8.821294
0.7097292,-0.472229,3.53331,0.09268987,-0.06305921,3.533325,-0.2251232, -0.05285954,-0.6915378,-8.727422
0.7207156,-0.5374756,3.606552,0.09091997,-0.06349707,3.533951,-0.2270053, -0.05146945,-1.148929,-8.650471
0.7318046,-0.4876099,3.641861,0.09000504,-0.06247437,3.577576,-0.2277737, -0.05027425,-1.350747,-8.408239
0.7430838,-0.4927979,3.586609,0.09043133,-0.06349707,3.551102,-0.2270053, -0.05021584,-1.231147,-8.498378
0.7538199,-0.4346008,3.607391,0.08933163,-0.06431234,3.553024,-0.2270053, -0.05039072,-1.350747,-8.635494
0.7650449,-0.412262,3.533478,0.09332669,-0.06446612,3.543304,-0.2277737, -0.05050731,-1.006194,-8.72839
0.7761399,-0.3996277,3.596664,0.09157073,-0.06139994,3.54631,-0.2277809, -0.05039072,-1.198773,-8.408357
