Time, Pupil Size
0,INVALID
0.02,3.304611
0.04,3.410721
0.3733333,3.314262
0.4334956,3.35601
0.4505909,3.298592
0.4597184,3.309113
0.4696922,3.276093
0.4803569,3.298378
0.4915796,3.298027
0.5026044,3.331116
0.5132591,3.313866
0.5250344,3.211021
0.5355827,3.237419
0.5467633,3.171967
0.5577868,3.26413
0.5692043,3.258011
0.5796219,3.334793
0.5912523,3.31749
0.6026062,3.285316
0.6130522,3.32164
0.6248444,3.338326
0.6395667,3.441017
0.6491439,3.388908
0.6579817,3.375221
0.6690019,3.462914
0.6797945,3.410988
0.6909865,3.461357
0.7021662,3.487045
0.7130381,3.488945
0.7246884,3.476936
0.736214,3.546974
0.7478095,3.47834
0.7582664,3.494301
0.769095,3.346146
0.7796727,3.389244
0.790911,3.443779
0.8021454,3.476784
0.8137124,3.500885
0.8260776,3.388535
0.836306,3.456841
0.8471456,3.506142
0.8587115,3.459167
0.8692455,3.50827
0.8803524,3.421715
0.8914112,3.451599
0.9025808,3.490486
0.9144522,3.439713
0.9244455,3.434113
0.9356564,3.477562
0.9470376,3.454132
0.9573959,3.414726
0.9685081,3.293816
0.9802022,3.476959
0.9905979,3.409187
1.002453,3.486511
1.01287,3.458366
1.024502,3.387917
1.035425,3.336098
1.046603,3.366272
1.057482,3.363564
1.068573,3.374466
1.079899,3.368408
1.090759,3.33123
1.102142,3.358627
1.113165,3.391815
1.124226,3.363792
1.13523,3.303856
1.146597,3.337662
1.161678,3.31366
1.172372,3.350746
1.18373,3.333687
1.194809,3.255547
1.205797,3.317459
1.217441,3.307755
1.228795,3.318245
1.239402,3.344078
1.251298,3.314293
1.262213,3.346344
1.272701,3.366508
1.284178,3.395805
1.295422,3.345978
1.306425,3.37561
1.318177,3.413414
1.329108,3.361389
1.339893,3.397812
1.351807,3.402908
1.362507,3.396591
1.374042,3.416534
1.385185,3.370079
1.396018,3.313499
1.40706,3.325592
1.418208,3.351852
1.429284,3.396835
1.440254,3.432243
1.451692,3.366234
1.462585,3.316795
1.47451,3.334656
1.484977,3.338432
1.496079,3.30484
1.506908,3.383156
1.518036,3.426216
1.529552,3.396202
1.540969,3.353546
1.551504,3.372795
1.562157,3.359703
1.573398,3.328201
1.584951,3.261131
1.596197,3.282799
1.606797,3.377403
1.618266,3.291412
1.629371,3.265785
1.640467,3.38871
1.651669,3.321579
1.662444,3.273087
1.673562,3.288452
1.685102,3.174408
1.696493,3.15892
1.707326,3.188957
1.718008,3.233391
1.728999,3.259628
1.740449,3.324158
1.751396,3.208672
1.762418,3.146866
1.773451,3.080353
1.78487,3.178719
1.796068,3.210892
1.806897,3.344978
1.818551,3.200539
1.828873,3.200134
1.840469,3.296356
1.852081,3.311539
1.86266,3.269547
1.873674,3.330971
1.884964,3.386215
1.895814,3.295113
1.906687,3.258972
1.91787,3.320358
1.929124,3.261734
1.940557,3.273911
1.951511,3.29792
1.962756,3.223671
1.97319,3.212196
1.984386,3.334244
1.995614,3.285439
2.007611,3.216141
2.018262,3.21714
2.029443,3.252235
2.041056,3.212616
2.051701,3.082848
2.062192,3.268364
2.073677,3.236763
2.084452,3.297508
2.095898,3.238625
2.106909,3.218208
2.118108,3.273453
2.129377,3.223305
2.140203,3.258179
2.151381,3.289024
2.162627,3.265182
2.173776,3.235909
2.18
