Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y
0,6.75982,0,INVALID,INVALID,0,INVALID, INVALID
0.02,6.75982,2.476685,0.01008642,0.06043077,2.493774,-0.2082672, 0.0956533
0.04,6.665279,2.859009,0.07058835,-0.02018046,2.877914,-0.149717, 0.01459903
0.3733333,-34.14822,2.90239,0.06590593,-0.01440203,2.959869,-0.1502973, 0.01780564
0.4353987,-21.63626,2.959427,0.06509387,-0.01297534,2.957779,-0.1515847, 0.01978034
0.4659306,-21.31247,2.959427,0.06509387,-0.01297534,2.957779,-0.1515847, 0.01978034
0.4724093,-21.27161,2.961517,0.06473196,-0.01310062,2.97139,-0.1518067, 0.01973718
0.4794205,-21.23761,2.957993,0.06407535,-0.01324785,2.974533,-0.1525623, 0.01973718
0.4905287,-21.19635,3.142975,0.1025383,0.006359875,3.045486,-0.1082913, 0.03534883
0.8124354,-20.42651,3.143005,0.1022387,0.006628394,3.05838,-0.1082988, 0.03546071
0.8381846,-20.29645,3.186005,0.1030846,0.004622519,3.091797,-0.1078886, 0.03568995
0.8451278,-20.16284,3.19075,0.1362578,-0.01269901,3.031342,-0.0864343, 0.02626014
0.8581518,-20.1174,3.135239,0.1461499,-0.01371479,3.013397,-0.08071136, 0.02178079
0.8687216,-20.08337,3.110397,0.1448829,-0.01298463,3.050369,-0.07789415, 0.02157885
0.8795846,-20.03439,3.082489,0.1425831,-0.01187372,3.012146,-0.08001482, 0.01852828
0.8909328,-19.96658,3.109375,0.1439258,-0.01222539,3.014908,-0.07941377, 0.01994675
0.902057,-19.78384,3.128326,0.1451101,-0.01313198,2.976715,-0.08069402, 0.02095568
0.9129336,-19.49017,3.124847,0.1481079,-0.01302207,3.049515,-0.07680374, 0.01998436
0.9240915,-19.14725,3.092682,0.149083,-0.01349008,3.033173,-0.07483584, 0.02070826
0.935568,-18.75812,3.129578,0.1507102,-0.01182508,3.028931,-0.07649994, 0.01910108
0.9461764,-18.38159,3.115204,0.1490424,-0.01352262,3.062775,-0.07560611, 0.02028704
0.9574661,-18.00183,3.099075,0.1471677,-0.01098168,3.032196,-0.07859957, 0.02321821
0.9691893,-17.65283,3.221817,0.1424342,-0.01158154,3.055084,-0.08626837, 0.02027422
0.9897208,-17.242,3.221817,0.1424342,-0.01158154,3.055084,-0.08626837, 0.02027422
0.9972093,-16.82782,3.200989,0.1399742,-0.01281965,3.023209,-0.08245349, 0.02316648
1.002388,-16.38498,3.269226,0.1365138,-0.01244211,3.079636,-0.08580899, 0.02308351
1.012455,-15.95227,3.235107,0.1390605,-0.01157308,3.167053,-0.08915716, 0.02108461
1.023847,-15.49414,3.164719,0.1345358,-0.01391482,2.981857,-0.08923703, 0.02522171
1.035174,-15.05725,3.184372,0.1332432,-0.008498549,3.04982,-0.08918464, 0.02493143
1.045939,-14.60156,3.268814,0.1361578,-0.007059932,3.123199,-0.0887652, 0.02797586
1.057249,-14.05225,3.28743,0.1507711,-5.65052E-05,3.102936,-0.07074142, 0.0289371
1.06879,-13.4209,3.228424,0.1655008,0.002085268,3.078644,-0.05829537, 0.02967626
1.079268,-12.75281,3.115097,0.1693945,0.002686739,3.075195,-0.05920577, 0.02970201
1.090892,-12.08612,3.292114,0.1657621,0.004649639,3.128815,-0.06497985, 0.03144056
1.102162,-11.49353,3.181381,0.1534883,0.002226174,3.192215,-0.06794429, 0.03633833
1.112929,-10.9903,3.29863,0.1511762,0.005016148,3.167786,-0.07391763, 0.03803039
1.1237,-10.53925,3.244629,0.1463919,0.006135225,3.186523,-0.08126783, 0.0359093
1.144233,-10.0986,3.318726,0.1288178,0.00704056,3.250107,-0.09606206, 0.03760833
1.152765,-9.663635,3.224915,0.1276182,0.008745909,3.230469,-0.0959475, 0.03687853
1.187607,-8.054688,3.224915,0.1276182,0.008745909,3.230469,-0.0959475, 0.03687853
1.194707,-7.502045,3.197144,0.1282108,0.008102775,3.057983,-0.09606719, 0.03467143
1.201258,-6.971069,3.260635,0.1199546,0.007551551,3.089706,-0.1016933, 0.03397214
1.212335,-6.562073,3.25592,0.1136713,0.01029235,3.153793,-0.1064085, 0.03806365
1.223222,-6.191223,3.222137,0.1044743,0.01216143,3.179001,-0.1099049, 0.04463053
1.234795,-5.950378,3.188721,0.101019,0.01216871,3.236404,-0.1126564, 0.04528582
1.24541,-5.692627,3.278488,0.09732485,0.01305383,3.181,-0.1221908, 0.0422461
1.25657,-5.47876,3.231293,0.09171498,0.01211739,3.15509,-0.1239634, 0.03992081
1.267703,-5.231812,3.195496,0.09013128,0.012254,3.111618,-0.1249695, 0.04063398
1.279266,-5.048553,3.251846,0.08772838,0.01251447,3.190598,-0.1316919, 0.04221827
1.301202,-4.855133,3.216949,0.08352184,0.01608241,3.132919,-0.1318376, 0.03876007
1.306864,-4.72348,3.216949,0.08352184,0.01608241,3.132919,-0.1318376, 0.03876007
1.31201,-4.660339,3.218857,0.0849663,0.01143146,3.128036,-0.134176, 0.03403443
1.32361,-4.61145,3.272476,0.07908404,0.0117206,3.184235,-0.1349384, 0.03947997
1.334497,-4.607178,3.261459,0.07642138,0.01169401,3.219864,-0.1405157, 0.03967065
1.345605,-4.628448,3.29689,0.07865334,0.0138548,3.165756,-0.1383304, 0.04309416
1.356928,-4.713623,3.159485,0.07343352,0.01757383,3.198364,-0.1426346, 0.04976708
1.368063,-4.801422,3.221832,0.07035661,0.02567154,3.145874,-0.150139, 0.06160718
1.378877,-4.887543,3.211624,0.0629164,0.03792769,3.161255,-0.1575262, 0.06830478
1.389847,-4.976318,3.241211,0.06184673,0.03753817,3.221207,-0.1597528, 0.07248306
1.40124,-5.08667,3.03331,0.06003094,0.03570312,3.130005,-0.1587402, 0.06626052
1.412152,-5.222626,3.153214,0.05836868,0.03290921,3.131699,-0.1582759, 0.06855917
1.423377,-5.29306,3.179855,0.05930567,0.03301239,3.131821,-0.1606502, 0.06884491
1.435086,-5.423828,3.123672,0.06287348,0.03076643,3.1539,-0.1555263, 0.07013541
1.455034,-5.543762,3.198303,0.06233561,0.03667623,3.1586,-0.156516, 0.06881714
1.4609,-5.686523,3.168442,0.06144428,0.03670591,3.151474,-0.1575056, 0.0674988
1.467434,-5.863251,3.131653,0.05992579,0.03031921,3.151093,-0.1570005, 0.06729454
1.478671,-6.020233,3.194977,0.06693661,0.03060961,3.153595,-0.1555015, 0.06444246
1.490006,-6.178802,3.0224,0.06414402,0.02520078,3.205978,-0.1514674, 0.06448728
1.500973,-6.287415,3.13858,0.06575787,0.03057075,3.200684,-0.1519206, 0.06709182
1.512235,-6.413116,3.227173,0.06451559,0.04655176,3.266113,-0.1540656, 0.07848525
1.523591,-6.505219,3.319946,0.06158435,0.05921,3.198364,-0.1605557, 0.09764671
1.537078,-6.598053,3.163803,0.05551267,0.06984061,3.101974,-0.1698088, 0.1060639
1.545454,-6.678497,3.046387,0.04588735,0.08486342,3.188248,-0.1789325, 0.1169887
1.556509,-6.768188,3.084473,0.04545772,0.08254194,3.180527,-0.1789605, 0.1184352
1.567725,-6.82489,3.05986,0.04557812,0.08343947,3.119446,-0.1789345, 0.11827
1.578894,-6.873138,3.11824,0.04908037,0.08135206,3.222015,-0.1802109, 0.1188366
1.590589,-6.882965,3.178604,0.04415214,0.08648974,3.16156,-0.1725477, 0.117126
1.609629,-6.899078,3.160538,0.04559779,0.08817816,3.163696,-0.1743927, 0.1150608
1.615529,-6.876678,3.097595,0.04517436,0.08219481,3.103806,-0.1719987, 0.114021
1.623221,-6.884064,3.074539,0.04804254,0.08486617,3.166107,-0.1720778, 0.1169117
1.6346,-6.855804,3.116592,0.04689395,0.08411461,3.147034,-0.1714731, 0.1144848
